"Transaction type","Transaction date","Invoice number","Order reference","Store","Total net","Total VAT","Total gross","Nominal code"," Nominal amount net","VAT rate","Nominal code name","net signed","VAT signed"
"INV","2025/06/02","SINA0035275","SOA00040707","28392","2132.55","61.10","2193.65","1001","1827.06","0.00","Food without VAT","1827.06","0.00"
"INV","2025/06/04","SINA0036489","SOA00042053","28392","2361.30","73.09","2434.39","1001","1995.84","0.00","Food without VAT","1995.84","0.00"
"INV","2025/06/06","SINA0038257","SOA00043174","28392","2810.49","74.46","2884.95","1001","2438.19","0.00","Food without VAT","2438.19","0.00"
"INV","2025/06/02","SINA0035275","SOA00040707","28392","2132.55","61.10","2193.65","1100","186.28","20.00","Non Food with VAT","186.28","37.26"
"INV","2025/06/04","SINA0036489","SOA00042053","28392","2361.30","73.09","2434.39","1100","267.95","20.00","Non Food with VAT","267.95","53.59"
"INV","2025/06/06","SINA0038257","SOA00043174","28392","2810.49","74.46","2884.95","1100","172.91","20.00","Non Food with VAT","172.91","34.60"
"INV","2025/06/06","SINA0038257","SOA00043174","28392","2810.49","74.46","2884.95","1200","38.80","20.00","Store Equipment with VAT","38.80","7.76"
"INV","2025/06/02","SINA0035275","SOA00040707","28392","2132.55","61.10","2193.65","1300","21.70","20.00","Cleaning Equipment with VAT","21.70","4.34"
"INV","2025/06/06","SINA0038257","SOA00043174","28392","2810.49","74.46","2884.95","1300","39.04","20.00","Cleaning Equipment with VAT","39.04","7.80"
"INV","2025/06/06","SINA0038257","SOA00043174","28392","2810.49","74.46","2884.95","1400","24.04","20.00","Clothing with VAT","24.04","4.80"
"INV","2025/06/02","SINA0035275","SOA00040707","28392","2132.55","61.10","2193.65","1600","97.51","20.00","Delivery","97.51","19.50"
"INV","2025/06/04","SINA0036489","SOA00042053","28392","2361.30","73.09","2434.39","1600","97.51","20.00","Delivery","97.51","19.50"
"INV","2025/06/06","SINA0038257","SOA00043174","28392","2810.49","74.46","2884.95","1600","97.51","20.00","Delivery","97.51","19.50"
"INV","2025/06/08","FTIU0202923","","28392","1385.18","277.04","1662.22","2000","1385.18","20.00","Royalties","1385.18","277.04"
"INV","2025/06/08","FTIN0085144","","28392","1007.41","201.48","1208.89","2100","1007.41","20.00","National Advertising Levy","1007.41","201.48"
"INV","2025/06/08","FTIN0083886","","28392","163.41","32.68","196.09","2150","163.41","20.00","Interactive Management Charge","163.41","32.68"
"INV","2025/06/08","FTIN0082483","","28392","128.05","25.61","153.66","2160","128.05","20.00","Interactive Card Charges","128.05","25.61"
"INV","2025/06/08","FTIU0200365","","28392","5.88","0.00","5.88","2200","5.88","0.00","Charitable Donations","5.88","0.00"
"INV","2025/06/08","FTIR0003735","","28392","8137.50","1627.50","9765.00","3000","7750.00","20.00","Rent","7750.00","1550.00"
"INV","2025/06/08","FTIR0003735","","28392","8137.50","1627.50","9765.00","3001","387.50","20.00","PMC","387.50","77.50"
"INV","2025/06/08","FTIU0196603","","28392","57.46","11.49","68.95","5000","57.46","20.00","Computer Support","57.46","11.49"
"INV","2025/06/08","FTIU0198858","","28392","5.57","1.11","6.68","5000","5.57","20.00","Computer Support","5.57","1.11"
"INV","2025/06/08","FTIU0201273","","28392","25.97","5.19","31.16","5000","25.97","20.00","Computer Support","25.97","5.19"
