"Transaction type","Transaction date","Invoice number","Order reference","Store","Total net","Total VAT","Total gross","Nominal code"," Nominal amount net","VAT rate","Nominal code name","net signed","VAT signed"
"INV","2025/06/03","SINA0035856","SOA00041025","28394","3327.86","95.11","3422.97","1001","2852.29","0.00","Food without VAT","2852.29","0.00"
"INV","2025/06/05","SINA0037208","SOA00042434","28394","3979.52","126.88","4106.40","1001","3345.13","0.00","Food without VAT","3345.13","0.00"
"INV","2025/06/06","SINA0038397","SOA00044324","28394","4899.33","121.76","5021.09","1001","4290.53","0.00","Food without VAT","4290.53","0.00"
"INV","2025/06/03","SINA0035856","SOA00041025","28394","3327.86","95.11","3422.97","1100","317.98","20.00","Non Food with VAT","317.98","63.60"
"INV","2025/06/05","SINA0037208","SOA00042434","28394","3979.52","126.88","4106.40","1100","417.86","20.00","Non Food with VAT","417.86","83.57"
"INV","2025/06/06","SINA0038397","SOA00044324","28394","4899.33","121.76","5021.09","1100","493.79","20.00","Non Food with VAT","493.79","98.76"
"INV","2025/06/03","SINA0035856","SOA00041025","28394","3327.86","95.11","3422.97","1200","17.50","20.00","Store Equipment with VAT","17.50","3.50"
"INV","2025/06/05","SINA0037208","SOA00042434","28394","3979.52","126.88","4106.40","1200","38.20","20.00","Store Equipment with VAT","38.20","7.64"
"INV","2025/06/06","SINA0038397","SOA00044324","28394","4899.33","121.76","5021.09","1200","17.50","20.00","Store Equipment with VAT","17.50","3.50"
"INV","2025/06/03","SINA0035856","SOA00041025","28394","3327.86","95.11","3422.97","1300","42.58","20.00","Cleaning Equipment with VAT","42.58","8.51"
"INV","2025/06/05","SINA0037208","SOA00042434","28394","3979.52","126.88","4106.40","1300","80.82","20.00","Cleaning Equipment with VAT","80.82","16.17"
"INV","2025/06/03","SINA0035856","SOA00041025","28394","3327.86","95.11","3422.97","1600","97.51","20.00","Delivery","97.51","19.50"
"INV","2025/06/05","SINA0037208","SOA00042434","28394","3979.52","126.88","4106.40","1600","97.51","20.00","Delivery","97.51","19.50"
"INV","2025/06/06","SINA0038397","SOA00044324","28394","4899.33","121.76","5021.09","1600","97.51","20.00","Delivery","97.51","19.50"
"INV","2025/06/08","FTIU0203058","","28394","2431.86","486.37","2918.23","2000","2431.86","20.00","Royalties","2431.86","486.37"
"INV","2025/06/08","FTIN0085246","","28394","1768.62","353.72","2122.34","2100","1768.62","20.00","National Advertising Levy","1768.62","353.72"
"INV","2025/06/08","FTIN0083623","","28394","320.01","64.00","384.01","2150","320.01","20.00","Interactive Management Charge","320.01","64.00"
"INV","2025/06/08","FTIN0082223","","28394","238.94","47.79","286.73","2160","238.94","20.00","Interactive Card Charges","238.94","47.79"
"INV","2025/06/08","FTIU0200648","","28394","17.48","0.00","17.48","2200","17.48","0.00","Charitable Donations","17.48","0.00"
"INV","2025/06/08","FTIR0004431","","28394","5775.00","1155.00","6930.00","3000","5500.00","20.00","Rent","5500.00","1100.00"
"INV","2025/06/08","FTIR0004431","","28394","5775.00","1155.00","6930.00","3001","275.00","20.00","PMC","275.00","55.00"
"INV","2025/06/08","FTIU0196801","","28394","57.46","11.49","68.95","5000","57.46","20.00","Computer Support","57.46","11.49"
"INV","2025/06/08","FTIU0198642","","28394","5.57","1.11","6.68","5000","5.57","20.00","Computer Support","5.57","1.11"
"INV","2025/06/08","FTIU0201405","","28394","52.80","10.56","63.36","5000","52.80","20.00","Computer Support","52.80","10.56"
