"Transaction type","Transaction date","Invoice number","Order reference","Store","Total net","Total VAT","Total gross","Nominal code"," Nominal amount net","VAT rate","Nominal code name","net signed","VAT signed"
"INV","2025/03/31","SINA0010361","SOA00016171","29115","936.39","53.62","990.01","1001","668.29","0.00","Food without VAT","668.29","0.00"
"INV","2025/04/03","SINA0011705","SOA00016830","29115","1299.05","46.49","1345.54","1001","1066.61","0.00","Food without VAT","1066.61","0.00"
"INV","2025/04/04","SINA0012166","SOA00017633","29115","1346.10","56.35","1402.45","1001","1064.35","0.00","Food without VAT","1064.35","0.00"
"INV","2025/03/31","SINA0010361","SOA00016171","29115","936.39","53.62","990.01","1100","124.90","20.00","Non Food with VAT","124.90","24.97"
"INV","2025/04/03","SINA0011705","SOA00016830","29115","1299.05","46.49","1345.54","1100","134.93","20.00","Non Food with VAT","134.93","26.98"
"INV","2025/04/04","SINA0012166","SOA00017633","29115","1346.10","56.35","1402.45","1100","225.93","20.00","Non Food with VAT","225.93","45.19"
"INV","2025/03/31","SINA0010361","SOA00016171","29115","936.39","53.62","990.01","1200","5.88","20.00","Store Equipment with VAT","5.88","1.18"
"INV","2025/03/31","SINA0010361","SOA00016171","29115","936.39","53.62","990.01","1300","39.81","20.00","Cleaning Equipment with VAT","39.81","7.96"
"INV","2025/04/04","SINA0012166","SOA00017633","29115","1346.10","56.35","1402.45","1300","55.82","20.00","Cleaning Equipment with VAT","55.82","11.16"
"INV","2025/03/31","SINA0010361","SOA00016171","29115","936.39","53.62","990.01","1600","97.51","20.00","DELIVERY","97.51","19.51"
"INV","2025/04/03","SINA0011705","SOA00016830","29115","1299.05","46.49","1345.54","1600","97.51","20.00","DELIVERY","97.51","19.51"
"INV","2025/04/04","SINA0012008","SOA00017633","29115","97.51","19.50","117.01","1600","97.51","20.00","DELIVERY","97.51","19.50"
"CRN","2025/04/06","FTCU011437","","29115","-0.63","0.00","-0.63","2000","-0.63","0.00","Royalties","-0.63","0.00"
"INV","2025/04/06","FTIU0123897","","29115","633.48","126.70","760.18","2000","633.48","20.00","Royalties","633.48","126.70"
"CRN","2025/04/06","FTCN003525","","29115","-0.46","0.00","-0.46","2100","-0.46","0.00","National Advertising Levy","-0.46","0.00"
"INV","2025/04/06","FTIN0049249","","29115","460.72","92.14","552.86","2100","460.72","20.00","National Advertising Levy","460.72","92.14"
"INV","2025/04/06","FTIN0047904","","29115","77.78","15.56","93.34","2150","77.78","20.00","Interactive Management Charge","77.78","15.56"
"INV","2025/04/06","FTIN0046781","","29115","63.74","12.75","76.49","2160","63.74","20.00","Interactive Card Charges","63.74","12.75"
"INV","2025/04/06","FTIU0119251","","29115","9.23","0.00","9.23","2200","9.23","0.00","Charitable Donations","9.23","0.00"
"INV","2025/04/06","FTIU0116401","","29115","57.46","11.49","68.95","5000","57.46","20.00","Computer Support","57.46","11.49"
"INV","2025/04/06","FTIU0117642","","29115","5.57","1.11","6.68","5000","5.57","20.00","Computer Support","5.57","1.11"
"INV","2025/04/06","FTIU0122433","","29115","10.69","2.14","12.83","5000","10.69","20.00","Computer Support","10.69","2.14"
