"Report Generated, 9th July 2025 - 19:40",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS P&L REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajs Limited, Bellam & Co Limited, Dhillon Brothers Limited, Fans (UK) Limited, MDJ Investments Limited, Nij Enterprises Ltd, Popat Leisure Limited, R & D 2 Pizza Limited, R&D Yorkshire Limited, Radas Pizza Ltd, Topbake Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,
British Pound,Eliminated accounts removed,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Code,Account Name,May 24,,Jun 24,,Jul 24,,Aug 24,,Sep 24,,Oct 24,,Nov 24,,Dec 24,,Jan 25,,Feb 25,,Mar 25,,Apr 25,,May 25,
,,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY,,PY
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,Sales,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 10,382,780.74",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 13,799,278.00",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4000,STORE - Inter store food Sales,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ -285.53,£ 0.00,£ -21.98,£ 0.00,£ -62.12,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4001,STORE - SALES,"£ 2,873,316.85","£ 2,781,309.21","£ 2,844,253.40","£ 2,556,175.46","£ 2,802,485.10","£ 2,719,861.49","£ 2,697,464.77","£ 2,602,480.04","£ 2,595,440.71","£ 2,715,718.23","£ 4,059,397.92","£ 2,958,726.70","£ 4,200,669.25","£ 2,786,001.14","£ 4,641,633.89","£ 3,685,748.76","£ 3,637,933.77","£ 2,478,261.40","£ 3,696,743.59","£ 2,781,238.89","£ 4,177,417.33","£ 2,973,184.74","£ 3,826,327.38","£ 2,670,784.69","£ 4,161,960.87","£ 2,873,316.85"
4002,HECKMONDWICKE,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4002,Other Sales,£ 73.76,£ 0.00,£ 0.00,£ 0.00,£ 755.86,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 2,500.00",£ 0.00,£ 0.00,"£ 9,816.67",£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 500.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 13.80,£ 0.00,£ 73.76
4003,BIRCHINGTON,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4003,HONLEY,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4004,Car recharge-Jake,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 12,243.13",£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00,£ 783.13,£ 0.00
4005,WAKEFIELD SALES,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00
4010,STORE - Inter Company Staff Sales,£ 0.00,"£ 13,989.71",£ 0.00,"£ 8,313.98","£ 18,567.91","£ 17,261.89","£ 21,817.42",£ 0.00,"£ 15,034.15","£ 15,233.01","£ 6,276.34","£ 12,818.26","£ 7,153.18","£ 11,140.33",£ 0.00,"£ -1,022.40",£ 0.00,£ 686.20,£ 0.00,£ 0.00,£ 0.00,£ 0.00,£ 0.00,"£ 8,927.05",£ 0.00,£ 0.00
